Equipo 1,Resultado,Equipo 2,Score equipo 1,Score equipo 2,Acerto
 Washington,124 - 81, Detroit,0.46153846153846,0.51515151515152,No
 Dallas,107 - 96, Charlotte,0.5,0.56923076923077,No
 Miami,124 - 119, Denver,0.5757575757575799,0.42424242424242,Si
 Chicago,109 - 107, Toronto,0.5,0.6875,No
 Houston,130 - 81, Memphis,0.5,0.5909090909090899,No
 Oklahoma_City,128 - 94, Portland,0.6666666666666701,0.5223880597014899,Si
 Utah,94 - 85, Cleveland,0.46969696969697,0.7230769230769201,No
 Phoenix,107 - 104, Minnesota,0.25757575757576,0.31818181818182,No
 Golden_State,125 - 107, New_Orleans,0.90769230769231,0.36923076923077003,Si
 Indiana,103 - 98, Boston,0.53030303030303,0.5909090909090899,No
 Orlando,116 - 110, Denver,0.43076923076922996,0.42424242424242,Si
 Brooklyn,131 - 114, Philadelphia,0.27272727272727,0.13636363636364,Si
 Toronto,107 - 89, Milwaukee,0.6875,0.43283582089552003,Si
 San_Antonio,108 - 87, LA_Clippers,0.84848484848485,0.64615384615385,Si
 Sacramento,106 - 98, LA_Lakers,0.38461538461538003,0.2089552238806,Si
