Equipo 1,Resultado,Equipo 2,Score equipo 1,Score equipo 2,Acerto
 Washington,124 - 81, Detroit,0.47674058296766997,0.5082577085329301,No
 Dallas,107 - 96, Charlotte,0.49376668394021006,0.5659957169120601,No
 Miami,124 - 119, Denver,0.57222825110249,0.4323223853533,Si
 Chicago,109 - 107, Toronto,0.50740840048821,0.6647823102373399,No
 Houston,130 - 81, Memphis,0.50338257657567,0.57094509001024,No
 Oklahoma_City,128 - 94, Portland,0.6501953244433001,0.5210264895641,Si
 Utah,94 - 85, Cleveland,0.47712225629024996,0.70290997198364,No
 Phoenix,107 - 104, Minnesota,0.29166627305928006,0.32793102034608,No
 Golden_State,125 - 107, New_Orleans,0.8736895389079801,0.3841532924453,Si
 Indiana,103 - 98, Boston,0.54083991052217,0.57294353835916,No
 Orlando,116 - 110, Denver,0.42488081833271996,0.4323223853533,No
 Brooklyn,131 - 114, Philadelphia,0.28605425274025,0.15605313285932998,Si
 Toronto,107 - 89, Milwaukee,0.6647823102373399,0.43891036165152,Si
 San_Antonio,108 - 87, LA_Clippers,0.79884713767618,0.6339314797515301,Si
 Sacramento,106 - 98, LA_Lakers,0.40804505745523995,0.24127852969615998,Si
