Equipo 1,Resultado,Equipo 2,Score equipo 1,Score equipo 2,Acerto
 Washington,124 - 81, Detroit,0.46268656716418,0.51470588235294,No
 Dallas,107 - 96, Charlotte,0.5,0.56716417910448,No
 Miami,124 - 119, Denver,0.57352941176471,0.42647058823529,Si
 Chicago,109 - 107, Toronto,0.5,0.6818181818181801,No
 Houston,130 - 81, Memphis,0.5,0.58823529411765,No
 Oklahoma_City,128 - 94, Portland,0.66176470588235,0.52173913043478,Si
 Utah,94 - 85, Cleveland,0.47058823529412,0.71641791044776,No
 Phoenix,107 - 104, Minnesota,0.26470588235294,0.32352941176471,No
 Golden_State,125 - 107, New_Orleans,0.8955223880597,0.37313432835821003,Si
 Indiana,103 - 98, Boston,0.52941176470588,0.58823529411765,No
 Orlando,116 - 110, Denver,0.43283582089552003,0.42647058823529,Si
 Brooklyn,131 - 114, Philadelphia,0.27941176470588,0.14705882352941002,Si
 Toronto,107 - 89, Milwaukee,0.6818181818181801,0.43478260869565005,Si
 San_Antonio,108 - 87, LA_Clippers,0.8382352941176501,0.6417910447761199,Si
 Sacramento,106 - 98, LA_Lakers,0.38805970149253993,0.21739130434783,Si
