Equipo 1,Resultado,Equipo 2,Score equipo 1,Score equipo 2,Acerto
 Memphis,112 - 103, Indiana,0.33928571428571,0.375,No
 Atlanta,112 - 101, New_York,0.4,0.625,No
 LA_Clippers,104 - 88, Dallas,0.625,0.625,No
 Cleveland,102 - 92, Miami,0.51785714285714,0.625,No
 Oklahoma_City,139 - 136, Orlando,0.625,0.375,Si
 Utah,99 - 71, Philadelphia,0.4,0.375,Si
 Toronto,113 - 103, Boston,0.625,0.625,No
 Detroit,98 - 94, Chicago,0.7,0.73214285714286,No
 Atlanta,97 - 94, Charlotte,0.4,0.375,Si
 Washington,118 - 113, Milwaukee,0.625,0.375,Si
 San_Antonio,102 - 75, Brooklyn,0.375,0.41071428571429,No
 Minnesota,95 - 78, Denver,0.625,0.625,No
 Golden_State,112 - 92, Houston,0.6,0.375,Si
 Sacramento,132 - 114, LA_Lakers,0.375,0.375,No
 Phoenix,110 - 92, Portland,0.375,0.6,No
 Utah,97 - 76, Indiana,0.4,0.375,Si
