Equipo 1,Resultado,Equipo 2,Score equipo 1,Score equipo 2,Acerto
 Memphis,112 - 103, Indiana,0.0,0.0,No
 Atlanta,112 - 101, New_York,0.0,1.0,No
 LA_Clippers,104 - 88, Dallas,1.0,1.0,No
 Cleveland,102 - 92, Miami,0.5,1.0,No
 Oklahoma_City,139 - 136, Orlando,1.0,0.0,Si
 Utah,99 - 71, Philadelphia,0.0,0.0,No
 Toronto,113 - 103, Boston,1.0,1.0,No
 Detroit,98 - 94, Chicago,1.0,1.0,No
 Atlanta,97 - 94, Charlotte,0.0,0.0,No
 Washington,118 - 113, Milwaukee,1.0,0.0,Si
 San_Antonio,102 - 75, Brooklyn,0.0,0.0,No
 Minnesota,95 - 78, Denver,1.0,1.0,No
 Golden_State,112 - 92, Houston,1.0,0.0,Si
 Sacramento,132 - 114, LA_Lakers,0.0,0.0,No
 Phoenix,110 - 92, Portland,0.0,1.0,No
 Utah,97 - 76, Indiana,0.0,0.0,No
